time,open,high,low,close,HV
2022-10-05T08:00:00+08:00,1361.8,1364.8,1317.3,1352.4,83.29985851292348
2022-10-06T08:00:00+08:00,1352.5,1383.7,1344.9,1352.5,83.2736088470017
2022-10-07T08:00:00+08:00,1352.1,1361.8,1317.6,1331.5,82.44454643473384
2022-10-08T08:00:00+08:00,1331.1,1337.5,1304,1315.8,81.92489935064461
2022-10-09T08:00:00+08:00,1314.4,1328.8,1307.8,1323.5,78.9260611781195
2022-10-10T08:00:00+08:00,1322.9,1338.3,1282.7,1290.2,78.90122619152768
2022-10-11T08:00:00+08:00,1288.4,1297.9,1267.7,1280,78.04613751122498
2022-10-12T08:00:00+08:00,1280,1306.5,1275.7,1294.5,78.03363152085917
2022-10-13T08:00:00+08:00,1294.3,1301,1155,1287.6,77.91834465578522
2022-10-14T08:00:00+08:00,1286.8,1342.9,1284.6,1296.9,77.9351699381971
2022-10-15T08:00:00+08:00,1296.5,1301.8,1263.8,1275.2,77.96823883087309
2022-10-16T08:00:00+08:00,1275.1,1314.8,1275,1306.1,78.19500219347364
2022-10-17T08:00:00+08:00,1305.5,1338.7,1296.1,1331.5,78.37718014374374
2022-10-18T08:00:00+08:00,1331.5,1342,1286.8,1311,71.1697699676166
2022-10-19T08:00:00+08:00,1310.8,1313.2,1280,1285.2,71.15941084034367
2022-10-20T08:00:00+08:00,1285.1,1310,1271.6,1283.1,70.78826945682549
2022-10-21T08:00:00+08:00,1282.3,1306.5,1252.8,1300,70.87834568252039
2022-10-22T08:00:00+08:00,1300,1320,1294.8,1313.9,70.62776575447417
2022-10-23T08:00:00+08:00,1314.3,1370.9,1299.7,1364.1,71.35051075972646
2022-10-24T08:00:00+08:00,1364.7,1370.3,1324.5,1343.9,71.08728843560365
2022-10-25T08:00:00+08:00,1343.8,1525.4,1335.2,1460.2,68.45431375995733
2022-10-26T08:00:00+08:00,1462,1595,1458.8,1566.8,70.55891276116817
2022-10-27T08:00:00+08:00,1565.3,1577.7,1502.3,1514.1,70.17635070808726
2022-10-28T08:00:00+08:00,1514.3,1575.2,1480.1,1554.9,67.23375351002963
2022-10-29T08:00:00+08:00,1554.6,1662.8,1548.2,1620.7,67.80060455156715
2022-10-30T08:00:00+08:00,1620.5,1640.4,1576.8,1589.9,67.80970499924527
2022-10-31T08:00:00+08:00,1590.8,1635,1545.8,1573.4,67.6823540605282
